PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
1,0,1,3,1,5184,0,1930,2,100,0,0,0,900000,0,0
1,0,0,2,1,2280,0,1899,3,100,0,0,0,900000,90000,0
0,0,0,3,1,5040,0,1989,3,100,0,0,0,900000,50000,1
0,0,0,2,1,4929,0,1930,3,100,0,0,0,900000,0,1
1,0,0,2,1,2280,0,1899,3,100,0,0,0,900000,90000,0
0,0,1,4,1,4826,0,2012,3,100,0,0,1,900000,27800,0
0,0,0,3,1,4000,0,1950,3,100,0,0,0,900000,75000,1
0,0,1,2,1,4551,0,1910,2,100,0,1,0,910000,67200,0
0,0,0,2,1,2736,0,1950,2,100,0,0,0,910500,91050,1
1,0,0,2,1,4560,0,1899,3,100,0,0,0,912000,62000,0
0,0,0,3,1,3780,0,1901,3,100,0,0,0,919000,50000,1
0,0,0,3,1,3400,0,1988,2,100,0,0,0,920000,30000,1
1,0,1,2,3,6778,1130,1920,6,100,0,1,0,930504,150000,0
0,0,0,3,1,2480,0,1920,2,100,0,0,1,930750,0,1
0,0,0,4,1,3800,0,1940,2,100,0,0,0,937000,0,1
0,0,0,3,5,2836,0,1940,2,33,0,0,0,938000,281400,1
0,0,0,2,1,4700,0,1987,3,100,0,0,0,940000,75000,1
0,0,0,2,1,4275,0,1935,4,100,0,0,0,940500,138000,1
0,0,0,3,1,4200,0,1936,3,100,0,0,0,945000,0,1
0,0,0,3,1,3100,0,1981,3,100,0,0,0,950000,0,1
0,0,0,2,1,4320,0,1991,4,100,0,0,0,950000,95000,1
0,0,0,2,1,4620,1155,1900,4,100,0,1,1,950000,180000,1
0,0,0,4,1,3200,0,2000,3,100,0,0,0,950000,25000,1
0,0,0,3,1,4140,0,1964,3,100,0,0,0,950000,0,1
0,0,1,3,1,6200,1200,1950,3,100,0,1,0,950000,58000,0
0,0,0,3,1,3800,0,1920,2,100,0,0,0,954400,80000,1
0,0,0,2,1,3600,0,1931,3,100,0,0,0,955000,175000,1
0,0,0,2,1,3840,1280,1950,3,100,0,1,0,956429,55000,1
0,0,0,3,1,2680,0,1940,2,100,0,0,0,958480,30000,1
0,0,0,4,1,3200,0,1920,3,100,0,0,0,960000,0,1
0,0,0,2,1,5600,0,1930,3,100,0,0,0,964000,0,1
0,0,0,2,1,2900,0,1996,3,100,0,0,0,966000,100000,1
0,0,0,2,1,3350,0,1925,2,100,0,0,0,973800,75000,1
0,0,0,2,1,4180,670,1962,3,100,0,1,0,975000,110000,1
0,0,0,3,1,4290,0,1985,2,100,0,0,0,979000,0,1
0,0,0,2,1,3600,0,1961,2,100,0,0,0,984960,112627,1
0,0,0,2,1,5160,0,1900,3,100,0,0,0,990000,120000,1
0,0,0,2,1,5000,2400,1931,2,100,0,1,0,990000,87000,1
0,0,0,3,1,5800,0,1931,3,100,0,0,0,998000,158000,1
0,0,0,3,1,5880,1470,1982,3,100,0,1,0,999600,66000,1
0,0,0,3,1,5880,1470,1982,3,100,0,1,0,999600,66000,1
0,0,0,1,1,3268,0,1915,4,100,0,0,0,1000000,150000,1
0,0,0,1,1,3268,0,1915,4,100,0,0,0,1000000,150000,1
0,0,0,2,1,3000,0,1900,3,100,0,0,0,1000000,80000,1
1,0,0,3,1,2475,0,1899,4,100,0,0,0,1000000,40000,0
0,0,0,2,1,6114,0,2013,4,100,0,0,0,1000000,100000,1
0,0,0,3,1,3090,0,1905,3,100,0,0,0,1000000,15000,1
0,0,0,3,1,3234,0,2006,3,100,0,0,0,1000000,54000,1
0,0,0,2,1,3600,0,1910,4,100,0,0,0,1000000,100000,1
0,0,0,2,1,2950,0,1930,2,100,0,0,0,1000000,250000,1
0,0,0,2,1,2700,0,1900,3,100,0,0,0,1000000,100000,1
1,0,0,3,1,3700,0,1899,3,100,0,0,0,1000000,150000,0
0,0,0,2,1,2580,0,1910,3,100,0,0,0,1000000,100000,1
0,0,1,2,1,2160,0,1920,2,100,0,0,0,1000000,80000,0
0,0,0,2,1,3388,0,1900,3,100,0,0,0,1000000,140000,1
1,0,0,3,1,4038,1738,1890,3,100,0,1,1,1000000,100000,0
0,0,0,3,1,3789,0,1900,3,100,0,0,0,1000000,250000,1
0,0,0,2,1,2464,0,1931,3,100,0,0,0,1000000,90000,1
0,0,0,2,1,3720,0,1985,3,100,0,0,0,1000000,110000,1
